node_id,x,y,mag_x,mag_y,mag_z,pitch,roll,yaw,from_marker,to_marker,node_index,total_nodes
3441,-61.91208791208791,2.620879120879121,-24.02138479737037,-22.99584355908348,-26.433102910329783,-2.7798481422094667,-3.874229411904554,120.76094664777598,27,20,38,92
3442,-62.35714285714286,2.5714285714285716,-22.818982572438298,-23.1091803270158,-25.929071658270132,-0.06844327973310084,-5.462264136893805,117.46720770680676,27,20,39,92
3443,-62.8021978021978,2.521978021978022,-21.461929262732472,-23.176663038436732,-26.26905357851996,-3.259218591596997,-4.313016579358421,118.30449798408608,27,20,40,92
3444,-63.247252747252745,2.4725274725274726,-20.233964836788193,-23.306634809150395,-26.80100616291836,-0.08535598087457456,-4.282210922749529,117.32125992711423,27,20,41,92
3445,-63.69230769230769,2.423076923076923,-19.911843639929515,-24.162277528163738,-26.198083885321513,-2.3035913508047368,-1.5590536596102689,118.05829944643467,27,20,42,92
3446,-64.13736263736263,2.3736263736263736,-19.844362026695567,-24.704191883735486,-26.20036079015338,-2.2685825842455842,-3.866145754455402,114.36027521329495,27,20,43,92
3447,-64.58241758241758,2.3241758241758244,-19.939667344671864,-25.255746917541842,-27.164139785776406,-2.832034887674518,-3.9123968764447694,114.35121991336067,27,20,44,92
3448,-65.02747252747253,2.2747252747252746,-20.358257218826562,-25.173516620190288,-28.58019017814562,-1.7240202676436946,-6.099598639152575,113.73514632135043,27,20,45,92
3449,-65.47252747252747,2.2252747252747254,-21.096395418086814,-25.704568203986582,-30.189755780418842,-1.1681424175341415,-2.6902307984227387,119.05189568311776,27,20,46,92
3450,-65.91758241758242,2.1758241758241756,-22.139625903309856,-25.528469520454898,-31.91170284398924,-2.861086650630284,-3.2395809378268203,120.90807309583984,27,20,47,92
3451,-66.36263736263737,2.1263736263736264,-22.43993213699382,-25.82068773816101,-33.50368852966642,-0.16402177101265714,-2.054125583750778,123.64571449549155,27,20,48,92
3452,-66.8076923076923,2.076923076923077,-22.235247039808876,-25.588633278387277,-35.53529164169469,-1.564855761683964,-2.416981600433391,125.51293297302298,27,20,49,92
3453,-67.25274725274726,2.0274725274725274,-22.140460214943573,-25.799895160865386,-36.70783020493629,-0.44150161605084937,-2.9319477586321967,125.59640800547083,27,20,50,92
3454,-67.69780219780219,1.978021978021978,-22.130130542480277,-25.857918124373764,-37.46302774248006,-1.6886129126270581,-2.4197656013268434,126.9376812425955,27,20,51,92
3455,-68.14285714285714,1.9285714285714288,-21.97690948375201,-26.126692415219996,-37.759047114000126,1.1294264389274167,-4.053306250476355,124.10188844341931,27,20,52,92
3456,-68.58791208791209,1.879120879120879,-22.532430510410677,-25.80571492365866,-37.743849441643256,-1.6180872103440467,-4.261228135163188,124.85362862637992,27,20,53,92
3457,-69.03296703296704,1.8296703296703298,-23.10291382467807,-25.791416367323567,-37.12593889061427,0.45097795426564014,-5.482172446113027,122.80589850112229,27,20,54,92
3458,-69.47802197802199,1.7802197802197806,-23.4933047374071,-26.413841433575993,-35.591709533613894,-2.019765827865473,-2.06116891071755,125.29969131425824,27,20,55,92
3459,-69.92307692307692,1.7307692307692308,-23.256393521180936,-26.62594186203723,-33.97266185443343,-0.5468797622959778,-3.0735330767844844,121.77286918072204,27,20,56,92
3460,-70.36813186813187,1.6813186813186816,-22.64115202672163,-26.560409065891147,-32.93214847432535,-0.35430948422145714,-1.4676134076545198,122.77540911323777,27,20,57,92
3461,-70.8131868131868,1.6318681318681323,-22.01196690836515,-25.953858461985533,-32.00304813416855,-0.9568432349557999,-2.5108459379264754,120.95777340839491,27,20,58,92
3462,-71.25824175824175,1.5824175824175821,-21.742632467924754,-25.33023052361124,-30.681422970339682,-0.14068864822840166,-2.0891923162364643,121.39382039764267,27,20,59,92
3463,-71.7032967032967,1.5329670329670328,-20.878686298130212,-24.532328876256106,-29.532524828167677,-1.2362143787889617,-2.777907053244125,120.03436889981226,27,20,60,92
3464,-72.14835164835165,1.4835164835164836,-19.6068426850096,-24.514022303221477,-28.824571772053737,0.9709433625129151,-3.207939751387638,118.08919797615738,27,20,61,92
3465,-72.5934065934066,1.4340659340659339,-18.09883738690764,-24.037156030630513,-28.35776908397923,-1.006619661757911,-3.9583076145870204,116.149447419386,27,20,62,92
3466,-73.03846153846153,1.3846153846153846,-16.47471332717558,-23.834508781806075,-28.125031153432662,1.1429769591026517,-4.135181210284391,114.93551265625135,27,20,63,92
3467,-73.48351648351648,1.3351648351648349,-15.62016290929704,-22.882095402019328,-28.332195038837316,-2.105123093506395,-4.10928345981335,115.90738951757447,27,20,64,92
3468,-73.92857142857143,1.2857142857142856,-14.582402678839989,-21.951973447725972,-28.966985032450925,1.2613489108014886,-4.140513655976595,118.30283179892761,27,20,65,92
3469,-74.37362637362637,1.2362637362637363,-13.901000923801265,-20.92913471299929,-29.565215014646146,-2.1666113335808435,-1.932115125057645,124.1274414912914,27,20,66,92
3470,-74.81868131868131,1.1868131868131866,-14.505590528394842,-20.490885211945848,-28.71016763670017,1.129107892400283,-5.28822435797502,119.33066634139769,27,20,67,92
3471,-75.26373626373626,1.1373626373626373,-15.351087754393774,-20.176777318102378,-28.586354527925476,-1.1544951497289364,-3.6717893481946975,122.86575598584452,27,20,68,92
3472,-75.70879120879121,1.087912087912088,-15.628544921914072,-20.636298640527347,-29.253487692116355,0.21995294981558813,-3.2599475695988622,123.58042630606363,27,20,69,92
3473,-76.15384615384616,1.0384615384615383,-16.003728488302446,-21.7075896150043,-30.02264053103797,-0.12030542124269905,-2.2194373524095146,124.01918938484899,27,20,70,92
3474,-76.5989010989011,0.989010989010989,-15.79750319903552,-22.35539033076008,-31.158319613903036,0.059118918784441525,-3.184664732874424,121.91941573689479,27,20,71,92
3475,-77.04395604395604,0.9395604395604398,-15.513419235322036,-22.718465055650793,-31.95628830609876,0.9671992670364585,-2.996887174997198,122.85560391615195,27,20,72,92
3476,-77.48901098901099,0.8901098901098901,-15.080345085364828,-22.55207377793793,-33.07438624114346,-0.38245901692937856,-3.7576200600017975,122.50135636342976,27,20,73,92
3477,-77.93406593406593,0.8406593406593408,-14.94672667071429,-22.720431437845566,-33.8864086304602,0.025236165969991693,-2.8154300413435434,125.39311774786661,27,20,74,92
3478,-78.37912087912088,0.7912087912087915,-15.018984088054525,-22.531014762237458,-34.40468617363005,-1.8692382597716557,-3.282509208967466,125.29366832278366,27,20,75,92
3479,-78.82417582417582,0.7417582417582418,-15.00255316173312,-22.802273616899743,-34.10931930724913,1.1598267075398785,-3.469379367487991,124.03734705003441,27,20,76,92
3480,-79.26923076923077,0.6923076923076925,-14.70404689173699,-22.887867041643457,-33.80975035769633,-1.2222048618844799,-2.644004869097951,124.72747079174937,27,20,77,92
3481,-79.71428571428572,0.6428571428571432,-14.419860431778826,-23.342798128446656,-33.26726863507799,1.5438963239021222,-3.681202428289072,121.16365963763225,27,20,78,92
3482,-80.15934065934066,0.5934065934065931,-14.36885659570149,-23.249495774660822,-32.879327755357494,-1.4742028930365902,-3.3844033206989903,120.77460296578683,27,20,79,92
3483,-80.6043956043956,0.5439560439560438,-14.354968872211257,-22.958687327427942,-32.63108708530766,1.387589867355638,-3.998067147948357,120.27389062610008,27,20,80,92
3484,-81.04945054945054,0.4945054945054945,-14.681175015234036,-22.259998449334084,-32.33704745585699,-0.3180128969842086,-2.523607461165302,124.32131940394086,27,20,81,92
3485,-81.49450549450549,0.44505494505494525,-15.027891486339913,-21.37135832931481,-32.169698549294424,0.12771200689077256,-3.82423412031934,124.1383878624032,27,20,82,92
3486,-81.93956043956044,0.395604395604396,-15.573843477754448,-19.972555505702918,-32.419560673873505,-0.6622218654677108,-1.926461537539334,79.81175310849737,27,20,83,92
3487,-82.38461538461539,0.3461538461538458,-16.929252624182194,-18.41738968881154,-32.20812073119781,-0.9606815846193616,-3.8328603296396193,132.17632158409222,27,20,84,92
3488,-82.82967032967034,0.29670329670329654,-18.000690172216895,-17.50180019751347,-31.73426329629587,-0.24105399164812788,0.6918164956196736,-32.72076302028864,27,20,85,92
3489,-83.27472527472527,0.24725274725274726,-19.127966119729155,-16.290360054432874,-31.265808128557808,-0.6077078509853877,-0.5225670034591026,-13.591587506758774,27,20,86,92
3490,-83.71978021978022,0.197802197802198,-19.770055211722962,-15.382932606316002,-31.07391694031819,1.9025055392044479,-0.28454382330460154,-58.5330080566991,27,20,87,92
3491,-84.16483516483517,0.1483516483516487,-20.580074757827155,-13.840254592356075,-31.182471956950813,0.2404346365139616,-1.6447497269891047,-75.02338896219861,27,20,88,92
3492,-84.6098901098901,0.09890109890109944,-21.411461020980497,-13.013947354990488,-31.553347112918374,1.918058164721967,-1.6358956850828306,-122.20401653263089,27,20,89,92
3493,-85.05494505494505,0.049450549450549275,-22.856625832278308,-12.550048012959499,-31.757524049398842,-0.9827530476078692,-1.3620678735236484,-161.6057976159052,27,20,90,92
3494,-85.5,0.0,-24.52395863886005,-13.41427815788896,-31.395195860912974,-2.917026568929917,-5.919228857426618,37.45495749884502,27,20,91,92
3495,-40.5,4.5,37.225151501159665,-31.86849517303467,5.295505063915252,2.7947193212578005,2.1191943090368683,-1.5491060537738353,28,7,0,33
3496,-40.078125,4.359375,39.059808105099854,-37.090011328755615,6.239543910663909,0.41677570485943843,-6.064225373788316,4.569985954335007,28,7,1,33
3497,-39.65625,4.21875,19.968102773032474,-44.771495085877525,5.141522651624887,2.0589336655978494,-12.476595464424843,29.889142752491107,28,7,2,33
3498,-39.234375,4.078125,-13.152943047432577,-39.893839199112286,-5.07307723938052,-0.2535565471970188,-4.347843055866565,76.01940535248522,28,7,3,33
3499,-38.8125,3.9375,-23.381805902960117,-38.97944985518053,-12.335233177091864,-7.7176607431504225,-15.342875820797145,88.54089173524262,28,7,4,33
3500,-38.390625,3.796875,-0.2541480994613181,-47.48658365597093,-8.399483121966892,5.5555081569945575,-9.542672430444137,56.70341248667152,28,7,5,33
3501,-37.96875,3.65625,26.17174775749967,-45.08264903697139,-3.3740504761926737,2.261581375443527,-10.337169872509355,21.341086465521123,28,7,6,33
3502,-37.546875,3.515625,33.04273041927225,-37.56207842864849,-4.628129748414687,2.5968325340906993,-6.7464604783804845,6.849321935807734,28,7,7,33
3503,-37.125,3.375,32.24410400158418,-32.56880759058857,-9.38323435721114,-7.735210011726961,-17.545225719121976,6.379556949619821,28,7,8,33
3504,-36.703125,3.234375,36.81205975495125,-19.78804801132892,-14.141162133818728,6.195698717377465,-10.623519150851177,-18.227169438498137,28,7,9,33
3505,-36.28125,3.09375,39.60316912553295,-5.260315428186562,-20.17481702661946,1.9099531520445236,-10.412232126838477,-43.14297162399435,28,7,10,33
3506,-35.859375,2.953125,40.541130455423854,1.076649265979753,-22.98514599083741,1.1168083594937257,-8.194099305413525,-54.56950767225076,28,7,11,33
3507,-35.4375,2.8125,41.21671330550939,3.690582038710012,-24.644441879170998,1.0431371819693782,-5.6412498526928285,-59.941448711370334,28,7,12,33
3508,-35.015625,2.671875,42.61220335669016,3.503505148627238,-24.883393902666604,1.5135529596002655,-4.50715947360563,-60.18073972209611,28,7,13,33
3509,-34.59375,2.53125,43.105495699295034,2.219699412081915,-21.69318011503813,1.8939267373447255,-5.588993867100326,-56.08092936955986,28,7,14,33
3510,-34.171875,2.390625,43.47152072568609,1.6080301502595091,-20.069810364916492,1.2917370526159622,-5.982190663020342,-53.68544387605548,28,7,15,33
3511,-33.75,2.25,44.068967956385386,2.4286389539567965,-20.489527404186543,1.7754010844807147,-6.137072377435223,-54.882352270451506,28,7,16,33
3512,-33.328125,2.109375,43.93923188793333,3.2725635246338003,-20.46004080147538,2.8835541893769507,-6.6520542264183025,-56.35819202841285,28,7,17,33
3513,-32.90625,1.96875,43.18856656100303,3.4037206291043223,-19.438224586845315,1.938605283154506,-6.971324603889922,-55.32669173203106,28,7,18,33
3514,-32.484375,1.828125,43.67491292299362,3.804701794685677,-18.956871932853247,2.164225380692688,-6.307985750255876,-55.839648657691875,28,7,19,33
3515,-32.0625,1.6875,44.534622815357146,4.362806823035437,-17.98305592752244,0.862369076354416,-8.680333070350313,-53.788728551733826,28,7,20,33
3516,-31.640625,1.546875,45.71068150855321,3.3827930275033773,-16.65664926888244,0.7783128844178415,-4.632094707295519,-53.234089068214914,28,7,21,33
3517,-31.21875,1.40625,46.11741301077658,1.8022298123225473,-15.378168413629538,1.8728133767182638,-6.4765610617702665,-50.480755762624504,28,7,22,33
3518,-30.796875,1.265625,46.06724786499679,0.41262440343227935,-14.838874479033638,1.6197770035413441,-7.23887978765584,-48.142071823324116,28,7,23,33
3519,-30.375,1.125,44.98189379816753,-0.7076126832209952,-14.788743216404603,1.3627550158425525,-6.664352513874198,-47.091400229033695,28,7,24,33
3520,-29.953125,0.984375,44.06106634045507,-0.9925460123044477,-15.490429177190203,0.31088699147348997,-7.597211549886436,-46.46386925917066,28,7,25,33
3521,-29.53125,0.84375,43.55892506127628,-1.1145685792203877,-17.474119353413894,1.0525131463765502,-6.416021887890456,-48.509806506608825,28,7,26,33
3522,-29.109375,0.703125,41.920471841149336,-2.4013517114925,-17.551136189548497,0.830868651656829,-6.085799437600537,-47.332174212215044,28,7,27,33
3523,-28.6875,0.5625,39.93633334308459,-2.919331834855264,-18.065510103372965,1.726875940204053,-7.205343689896758,-47.22065489182194,28,7,28,33
3524,-28.265625,0.421875,38.71452270168602,-2.2146245617541167,-19.719840144779738,0.9478332044876133,-5.8963655393170145,-49.97820707800351,28,7,29,33
3525,-27.84375,0.28125,39.35787470564001,-0.2672067577617121,-21.1818766676297,1.8519962057679287,-7.18646205222157,-53.09678744730303,28,7,30,33
